#########################################################
##
##	NormalizedDictionaryで使用可能な標準的な辞書です。
##	各行は以下の形式で記述します。
##	置換前文字列,置換後文字列,コメント
##	各項目は二重引用符で囲むことができます。
##	先頭が#で始まる行はコメントです。
##	空行は単に読み飛ばします。
##
#########################################################
##### 全角→半角
"	","　",タブ→全角スペース
" ","　",スペース
"!","！"
"""","”",二重引用符
"#","＃"
"$","＄"
"%","％"
"&","＆"
"'","’",アポストロフィ
"(","（"
")","）"
"*","＊"
"+","＋"
",","，",カンマ
"-","－",ハイフン
".","．",ピリオド
"/","／"
"0","０"
"1","１"
"2","２"
"3","３"
"4","４"
"5","５"
"6","６"
"7","７"
"8","８"
"9","９"
":","："
";","；"
"<","＜"
"=","＝"
">","＞"
"?","？"
"@","＠"
"A","Ａ"
"B","Ｂ"
"C","Ｃ"
"D","Ｄ"
"E","Ｅ"
"F","Ｆ"
"G","Ｇ"
"H","Ｈ"
"I","Ｉ"
"J","Ｊ"
"K","Ｋ"
"L","Ｌ"
"M","Ｍ"
"N","Ｎ"
"O","Ｏ"
"P","Ｐ"
"Q","Ｑ"
"R","Ｒ"
"S","Ｓ"
"T","Ｔ"
"U","Ｕ"
"V","Ｖ"
"W","Ｗ"
"X","Ｘ"
"Y","Ｙ"
"Z","Ｚ"
"[","［"
"\","￥"
"]","］"
"^","＾"
"_","＿",下線
"`","‘",逆引用符
"a","ａ"
"b","ｂ"
"c","ｃ"
"d","ｄ"
"e","ｅ"
"f","ｆ"
"g","ｇ"
"h","ｈ"
"i","ｉ"
"j","ｊ"
"k","ｋ"
"l","ｌ"
"m","ｍ"
"n","ｎ"
"o","ｏ"
"p","ｐ"
"q","ｑ"
"r","ｒ"
"s","ｓ"
"t","ｔ"
"u","ｕ"
"v","ｖ"
"w","ｗ"
"x","ｘ"
"y","ｙ"
"z","ｚ"
"{","｛"
"|","｜"
"}","｝"
"~","～"	,チルダ
"｡","。"
"｢","「"
"｣","」"
"､","、"
"･","・",中黒
"ｦ","ヲ"
"ｧ","ァ",半角カナ小文字→全角カナ小文字
"ｨ","ィ",半角カナ小文字→全角カナ小文字
"ｩ","ゥ",半角カナ小文字→全角カナ小文字
"ｪ","ェ",半角カナ小文字→全角カナ小文字
"ｫ","ォ",半角カナ小文字→全角カナ小文字
"ｬ","ャ",半角カナ小文字→全角カナ小文字
"ｭ","ュ",半角カナ小文字→全角カナ小文字
"ｮ","ョ",半角カナ小文字→全角カナ小文字
"ｯ","ッ",半角カナ小文字→全角カナ小文字
"ｰ","ー",音引き
"ｱ","ア"
"ｲ","イ"
"ｳ","ウ"
"ｴ","エ"
"ｵ","オ"
"ｶ","カ"
"ｷ","キ"
"ｸ","ク"
"ｹ","ケ"
"ｺ","コ"
"ｻ","サ"
"ｼ","シ"
"ｽ","ス"
"ｾ","セ"
"ｿ","ソ"
"ﾀ","タ"
"ﾁ","チ"
"ﾂ","ツ"
"ﾃ","テ"
"ﾄ","ト"
"ﾅ","ナ"
"ﾆ","ニ"
"ﾇ","ヌ"
"ﾈ","ネ"
"ﾉ","ノ"
"ﾊ","ハ"
"ﾋ","ヒ"
"ﾌ","フ"
"ﾍ","ヘ"
"ﾎ","ホ"
"ﾏ","マ"
"ﾐ","ミ"
"ﾑ","ム"
"ﾒ","メ"
"ﾓ","モ"
"ﾔ","ヤ"
"ﾕ","ユ"
"ﾖ","ヨ"
"ﾗ","ラ"
"ﾘ","リ"
"ﾙ","ル"
"ﾚ","レ"
"ﾛ","ロ"
"ﾜ","ワ"
"ｦ","ヲ"
"ﾝ","ン"
"ﾞ","゛",濁点（通常は単独で置換すべきでない）
"ﾟ","゜",半濁点（通常は単独で置換すべきでない）
##### 半角濁音・半濁音→全角１文字化
"ｶﾞ","ガ"
"ｷﾞ","ギ"
"ｸﾞ","グ"
"ｹﾞ","ゲ"
"ｺﾞ","ゴ"
"ｻﾞ","ザ"
"ｼﾞ","ジ"
"ｽﾞ","ズ"
"ｾﾞ","ゼ"
"ｿﾞ","ゾ"
"ﾀﾞ","ダ"
"ﾁﾞ","ヂ"
"ﾂﾞ","ヅ"
"ﾃﾞ","デ"
"ﾄﾞ","ド"
"ﾊﾞ","バ"
"ﾋﾞ","ビ"
"ﾌﾞ","ブ"
"ﾍﾞ","ベ"
"ﾎﾞ","ボ"
"ﾊﾟ","パ"
"ﾋﾟ","ピ"
"ﾌﾟ","プ"
"ﾍﾟ","ペ"
"ﾎﾟ","ポ"
"ｳﾞ","ヴ"
##### 全角カナ小文字→全角カナ大文字
"ァ","ア"
"ィ","イ"
"ゥ","ウ"
"ェ","エ"
"ォ","オ"
"ャ","ヤ"
"ュ","ユ"
"ョ","ヨ"
"ッ","ツ"
##### 全角英小文字→全角英大文字
"ａ","Ａ"
"ｂ","Ｂ"
"ｃ","Ｃ"
"ｄ","Ｄ"
"ｅ","Ｅ"
"ｆ","Ｆ"
"ｇ","Ｇ"
